publisher,count
"Lazy Bee Scripts, UK, 2006 -",2
"Faber and Faber Ltd, London (1987)",1
"Collins educational (1 April 1999)",1
"Warner Chappell Plays, London, 1994 -",1
"Queensland One-act Plays for Festivals, Playlab Press, 1978 -",1
"University of the West Indies, Mona, 1966 -",1
"Oberon Books (2011)",8
"in ""Five Plays, Anouilh"", Methuen, London, 1987",1
"Playwrights Canada Press, 2001",1
"Anchorage Press, New Orleans, 1977 -",1
"Faber and Faber Ltd, London (2012)",1
"(Scottish Plays No. 189). Brown, Son & Ferguson, 1961 -",1
"in anderson, M. Four verse playsDramatists Play Service, NY -",1
